scode	s_count	school_name	school_lat	school_long	cscode	center_name	center_address	center_capacity	distance_km
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27340	JANAPRABHAT SECONDARY SCHOOL	KALIMATI	446	0.22752138074924141
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27006	HOLYVISION SECONDARY SCHOOL	TAHACHAL	342	0.5604411741030358
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27043	JANAMAITRI MULTIPLE CAMPUS	KULESHWAR	397	0.6166688856708776
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27144	NEPALAYA SECONDARY SCHOOL	KALANKISTHAN	332	0.943443375964329
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27058	EVEREST MA VI	SOLTEEMOD	400	0.6665626095663596
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	450	0.7072954120066148
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27319	GYANODAYA SECONDARY SCHOOL	BAFAL	483	1.0894246041296554
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27080	CAPITAL HILL ACADEMY SECONDARY SCHOOL	TEKU	274	0.783838406289479
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	550	1.309763847218971
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27095	EDMARK ACADEMY SECONDARY SCHOOL	KALANKI	347	1.2845980770721614
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	566	1.5024048256840683
27152	547	काठमाडौं स्कुल अफ सेन्ट्रल स्टेट, सोल्टिमोड,कालिमाटी	27.6969156057	85.2952067175	27195	JUBLIENT SECONDARY SCHOOL	KALIMATI	430	1.041454845862068
