scode	school	cscode	center	center_address	allocation	distance_km
27216	शितला मा.वि. बालाजु हाइट	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	68	2.9723004151557313
27148	मङ्गल मा.वि., कीर्तिपुर	27125	LABORATRY SECONDARY SCHOOL	KRITIPUR	100	1.4808077038809688
27148	मङ्गल मा.वि., कीर्तिपुर	27067	LRI SECONDARY SCHOOL	KALANKISTHAN	100	1.7156075059393139
27148	मङ्गल मा.वि., कीर्तिपुर	27197	JANA SEWA SECONDARY SCHOOL	KRITIPUR	6	1.2025888586840714
27177	काठमाण्डौ क्याम्पस, कालिमाटी	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	11	0.8037235597078277
27501	मल्पी सिटी स्कूल, नक्साल, काठमाडौं	27279	MAHENDRA RASTRIYA SECONDARY SCHOOL	BALUWATAR	8	1.380993883636345
27287	लक्ष्मी शिक्षा सदन मा.वि,टेकु भन्सार मार्ग	27058	EVEREST MA VI	SOLTEEMOD	14	1.4171864873494662
27491	सत्य साई शिक्षा सदन,टोखा,	27146	SARASWATI SECONDARY SCHOOL	TOKHA	5	0.6904353798399011
27486	त्रिकोण पब्लिक स्कुल,गोकर्णेश्वर, नारायणटार, काठमाडौं	27267	EASTPOLE SECONDARY SCHOOL	JORPATI	51	0.39767795625881086
27486	त्रिकोण पब्लिक स्कुल,गोकर्णेश्वर, नारायणटार, काठमाडौं	27462	SARBANAM SIKSHALAYA	GOKARNESHWAR JORPATI	62	1.0174583245178623
27486	त्रिकोण पब्लिक स्कुल,गोकर्णेश्वर, नारायणटार, काठमाडौं	27321	WITS ACADEMY	BHUWALDANDA	100	0.9715579667281976
27486	त्रिकोण पब्लिक स्कुल,गोकर्णेश्वर, नारायणटार, काठमाडौं	27479	LIMPIYA NATIONAL SCHOOL	GOKARNESHWAR	57	0.7921799949014154
27388	लोयल्टी एकेडेमी, बुढानिलकण्ठ	27245	BAL UDDHAR SECONDARY SCHOOL	KAPAN	50	0.7209576185106504
